TOPPID,Year,Season,SealID,Offset_Direction,Offset_Hour,Offset_Min,Offset_Sec,Cut_Year,Cut_Month,Cut_Day,Cut_Hour,Cut_Min,Cut_Sec,Compress_Hour,Compress_Min,Compress_Sec,Expand,Comments
2016007,2016,PB,R415,1,8,0,43,,,,,,,0,4,39,0,other tag is SMRU CTD
2016009,2016,PB,4448,1,8,0,34,,,,,,,0,2,23,0,other tag is SMRU CTD
2016011,2016,PB,5628,1,8,0,50,,,,,,,0,2,25,0,
2016013,2016,PB,U781,1,8,0,0,,,,,,,0,0,0,0,"Mk9 record has no data, offset converts to UTC"
2017001,2017,PB,6108,1,8,1,29,,,,,,,0,1,55,0,sick seal
2017002,2017,PB,U20,1,8,0,27,,,,,,,0,3,58,0,
2017003,2017,PB,5712,1,8,0,25,,,,,,,0,2,22,0,
2017004,2017,PB,B794,1,8,0,23,,,,,,,0,3,24,0,
2018001,2018,PB,4441,1,7,58,25,,,,,,,0,2,5,1,"beginning of CTDF record missing, other tag is SMRU Fluoro"
2018002,2018,PB,X553,1,8,0,0,,,,,,,0,0,0,0,other tag is SMRU Fluoro
2018006,2018,PB,X817,1,7,59,56,,,,,,,0,3,38,0,other tag is SMRU Fluoro
